age_lower,age_upper,body_mass,BMR,1,1.2,1.4,1.6,2,3,4,gender
0,1,8,1.86,0.0009,0.0011,0.0013,0.0014,0.0018,0.0027,0.0036,Males
1,3,12.8,3.05,0.0015,0.0018,0.0021,0.0024,0.003,0.0044,0.0059,Males
3,6,18.8,3.9,0.0019,0.0023,0.0026,0.003,0.0038,0.0057,0.0075,Males
6,11,31.9,5.14,0.0025,0.003,0.0035,0.004,0.005,0.0075,0.01,Males
11,16,57.6,7.02,0.0034,0.0041,0.0048,0.0054,0.0068,0.0102,0.0136,Males
16,21,77.3,7.77,0.0037,0.0045,0.0053,0.006,0.0075,0.0113,0.015,Males
21,30,84.9,8.24,0.0039,0.0048,0.0056,0.0064,0.008,0.012,0.016,Males
30,40,87,7.83,0.0037,0.0046,0.0053,0.0061,0.0076,0.0114,0.0152,Males
40,50,90.5,8,0.0038,0.0046,0.0054,0.0062,0.0077,0.0116,0.0155,Males
50,60,89.5,7.95,0.0038,0.0046,0.0054,0.0062,0.0077,0.0116,0.0154,Males
60,70,89.5,6.84,0.0033,0.004,0.0046,0.0053,0.0066,0.0099,0.0133,Males
70,80,83.9,6.57,0.0031,0.0038,0.0045,0.0051,0.0064,0.0095,0.0127,Males
80,200,76.1,6.19,0.003,0.0036,0.0042,0.0048,0.006,0.009,0.012,Males
0,1,7.7,1.75,0.0008,0.001,0.0012,0.0014,0.0017,0.0025,0.0034,Females
1,3,12.3,2.88,0.0014,0.0017,0.002,0.0022,0.0028,0.0042,0.0056,Females
3,6,18.3,3.59,0.0017,0.0021,0.0024,0.0028,0.0035,0.0052,0.007,Females
6,11,31.7,4.73,0.0023,0.0027,0.0032,0.0037,0.0046,0.0069,0.0092,Females
11,16,55.9,6.03,0.0029,0.0035,0.0041,0.0047,0.0058,0.0088,0.0117,Females
16,21,65.9,6.12,0.0029,0.0036,0.0042,0.0047,0.0059,0.0089,0.0119,Females
21,30,71.9,6.49,0.0031,0.0038,0.0044,0.005,0.0063,0.0094,0.0126,Females
30,40,74.8,6.08,0.0029,0.0035,0.0041,0.0047,0.0059,0.0088,0.0118,Females
40,50,77.1,6.16,0.0029,0.0036,0.0042,0.0048,0.006,0.009,0.0119,Females
50,60,77.5,6.17,0.003,0.0036,0.0042,0.0048,0.006,0.009,0.012,Females
60,70,76.8,5.67,0.0027,0.0033,0.0038,0.0044,0.0055,0.0082,0.011,Females
70,80,70.8,5.45,0.0026,0.0032,0.0037,0.0042,0.0053,0.0079,0.0106,Females
80,200,64.1,5.19,0.0025,0.003,0.0035,0.004,0.005,0.0075,0.0101,Females